seed,sigma,month,global_mse,insurer_gap,group_gap,worst_group_mse
20,0.1,79,0.10441847189217265,0.10108065682931565,0.03646597641263653,0.11740034245673076
20,0.1,80,0.10684872874622206,0.0,0.051006407992296554,0.12819854608806855
20,0.1,81,0.10708221488495812,0.10021067844467257,0.053206669821398184,0.13049244572916474
20,0.1,82,0.10814837343797098,0.10319075808031143,0.05499990126490688,0.13151538414309158
20,0.1,83,0.10743411350239011,0.10338481711454149,0.059158114085562236,0.1334905469506861
20,0.1,84,0.10664659059565686,0.10314083791875493,0.05734436220484364,0.13328188652158135
20,0.1,85,0.10843540671446254,0.10546143852501173,0.056871824073213464,0.1341392372592173
20,0.1,86,0.10897255440399434,0.10617014695892556,0.04976784185397705,0.13054274497350685
20,0.1,87,0.10785889178224208,0.10503657144946728,0.05307556259258735,0.13025158280441917
20,0.1,88,0.10710521679900546,0.10455360407335412,0.04552682639942773,0.12665644673866341
20,0.1,89,0.107017197454974,0.10454438517816218,0.042053368662725354,0.1240701845595099
20,0.1,90,0.012110573803428311,0.0,0.009561702892358716,0.015818074493361752
20,0.1,91,0.012287495593781249,0.008744947359259044,0.008714558631715528,0.015988543162869344
20,0.1,92,0.012431862919370394,0.009483593134037011,0.0073987089552906855,0.015997550211438446
20,0.1,93,0.012713497139113704,0.009880909133915261,0.006648292528841382,0.016034681125997916
20,0.1,94,0.01164113917720483,0.009826349899809359,0.0097313232116383,0.016317876341443608
20,0.1,95,0.011583305416077806,0.009796564871522367,0.009622417542749652,0.01601370441874926
20,0.1,96,0.011738601124917375,0.010090344504626328,0.010495224275920428,0.01701552787291024
20,0.1,97,0.012466391175283703,0.010426366620519042,0.008332806410416544,0.01708894324086739
20,0.1,98,0.012460857378544958,0.010774148694655632,0.010310341271627577,0.01781336239013834
